신코드,신항목명,구코드,구항목명
864,전기․전자 부품 및 제품 조립원,741,금속 및 관련재료 세공 종사자
,,832,전기 및 전자장비 조립 종사자
87,운전 및 운송 관련직,,
871,철도 및 전동차 기관사,841,철도 기관사 및 관련 종사자
872,화물열차 차장 및 관련 종사원,841,철도 기관사 및 관련 종사자
873,자동차 운전원,842,자동차 운전 종사자
874,물품이동 장비 조작원,843,건설 및 기타 이동장치 운전 종사자
875,건설 및 채굴 기계운전원,811,채광 및 광물가공장치 조작 종사자
,,843,건설 및 기타 이동장치 운전 종사자
876,선박 갑판승무원 및 관련 종사원,844,선박갑판 승무원 및 관련 종사자 
88,상․하수도 및 재활용 처리관련 기계조작직,,
881,상․하수도 처리장치 조작원,816,동력생산 및 관련장치 조작 종사자
882,재활용 처리 및 소각로 조작원,816,동력생산 및 관련장치 조작 종사자
89,목재․인쇄 및 기타 기계조작직,,
891,목재 및 종이 관련 기계조작원,752,"목재처리, 가구제조 및 관련 기능 종사자"
,,814,목재가공 및 제지장치 조작 종사자
,,822,화학제품용 기계 조작 종사자
,,824,나무제품용 기계 조작 종사자
,,825,"인쇄, 제책 및 종이제품용 기계 조작 종사자"
,,833,"금속, 목재 및 기타 제품 조립 종사자 "
892,인쇄 및 사진현상 관련 기계조작원,744,인쇄 및 관련 기능 종사자
,,822,화학제품용 기계 조작 종사자
,,825,"인쇄, 제책 및 종이제품용 기계 조작 종사자"
899,기타 제조관련 기계조작원,816,동력생산 및 관련장치 조작 종사자
,,829,기타 기계 조작 종사자
9,단순노무 종사자,,
91,건설 및 광업 관련 단순노무직,,
910,건설 및 광업 단순 종사원,941,광업 및 건설 관련 단순 노무 종사자
92,운송관련 단순노무직,,
921,하역 및 적재 단순 종사원,942,운수 관련 단순 노무 종사자
922,배달원,913,"배달, 운반 및 검침 관련 종사자 "
93,제조관련 단순노무직,,
930,제조관련 단순 종사원,930,제조 관련 단순 노무 종사자
94,청소 및 경비 관련 단순노무직,,
941,청소원 및 환경 미화원,911,"가사 및 관련 보조원, 청소 및 세탁 종사자"
,,914,환경미화 및 관련 종사자
942,경비원 및 검표원,912,"건물관리, 경비 및 관련 종사자 "
95,가사․음식 및 판매 관련 단순노무직,,
951,가사 및 육아 도우미,411,개인보호 및 관련 종사자
,,911,"가사 및 관련 보조원, 청소 및 세탁 종사자"
952,음식관련 단순 종사원,421,음식 조리 종사자
,,911,"가사 및 관련 보조원, 청소 및 세탁 종사자"
953,판매관련 단순 종사원,512,소매업체 판매 종사자
,,912,"건물관리, 경비 및 관련 종사자 "
,,915,기타 서비스 관련 단순 노무 종사자
99,농림어업 및 기타 서비스 단순노무직,,
991,농림어업관련 단순 종사원,620,임업 숙련 종사자
,,920,농림어업 관련 단순 노무 종사자 
992,계기검침․수금 및 주차 관련 종사원,912,"건물관리, 경비 및 관련 종사자 "
,,913,"배달, 운반 및 검침 관련 종사자 "
,,915,기타 서비스 관련 단순 노무 종사자
999,기타 서비스관련 단순 종사원,911,"가사 및 관련 보조원, 청소 및 세탁 종사자"
,,915,기타 서비스 관련 단순 노무 종사자
,,942,운수 관련 단순 노무 종사자
98,군인,98,군인
981,장교,981,장교
982,장기 부사관 및 준위,982,기타 군인
